MOF,Uptake
ALFFIVE_14_Co_i,0.6664114068
ALFFIVE_14_Co_i,0.0402787633
ALFFIVE_14_Cu_i,2.0631930538
ALFFIVE_14_Cu_i,0.9713387956
ALFFIVE_14_Cu_i,0.0636555784
ALFFIVE_14_Fe_i,1.6928865436
ALFFIVE_14_Fe_i,0.7977390039
ALFFIVE_14_Fe_i,0.0458985057
ALFFIVE_14_Ni_i,1.6287318766
ALFFIVE_14_Ni_i,0.7774127527
ALFFIVE_14_Ni_i,0.0462089429
ALFFIVE_14_Zn_i,1.9227613714
ALFFIVE_14_Zn_i,0.9011749882
ALFFIVE_14_Zn_i,0.0579282279
ALFFIVE_15_Cd_i,1.3016429633
ALFFIVE_15_Cd_i,0.4560000138
ALFFIVE_15_Cd_i,0.0227519421
ALFFIVE_15_Co_i,1.3904637475
ALFFIVE_15_Co_i,0.5321249213
ALFFIVE_15_Co_i,0.0296525896
ALFFIVE_15_Cu_i,1.4186125882
ALFFIVE_15_Cu_i,0.5351803086
ALFFIVE_15_Cu_i,0.0311730214
ALFFIVE_15_Fe_i,1.2234064643
ALFFIVE_15_Fe_i,0.4402537069
ALFFIVE_15_Fe_i,0.0222524687
ALFFIVE_15_Ni_i,1.2533772189
ALFFIVE_15_Ni_i,0.4872243566
ALFFIVE_15_Ni_i,0.0256214095
ALFFIVE_15_Zn_i,1.3386835363
ALFFIVE_15_Zn_i,0.4863490284
ALFFIVE_15_Zn_i,0.0259806494
ALFFIVE_16_Cd_i,0.08697189
ALFFIVE_16_Cd_i,0.0217910946
ALFFIVE_16_Cd_i,0.0008544607
ALFFIVE_16_Co_i,0.0976564711
ALFFIVE_16_Co_i,0.0253778943
ALFFIVE_16_Co_i,0.0009958091
ALFFIVE_16_Cu_i,0.097160906
ALFFIVE_16_Cu_i,0.0247475169
ALFFIVE_16_Cu_i,0.0009770792
ALFFIVE_16_Fe_i,0.0975246646
ALFFIVE_16_Fe_i,0.0245684111
ALFFIVE_16_Fe_i,0.0009586942
ALFFIVE_16_Ni_i,0.1007928744
ALFFIVE_16_Ni_i,0.0256043329
ALFFIVE_16_Ni_i,0.0010358948
ALFFIVE_16_Zn_i,0.09906238
ALFFIVE_16_Zn_i,0.0250618478
ALFFIVE_16_Zn_i,0.001004697
ALFFIVE_18_Cd,0.1305416795
ALFFIVE_18_Cd,0.0340069978
ALFFIVE_18_Cd,0.0014262603
ALFFIVE_18_Co,0.1711444963
ALFFIVE_18_Co,0.0441616911
ALFFIVE_18_Co,0.0018136299
ALFFIVE_18_Cu,0.2244528822
ALFFIVE_18_Cu,0.0586342528
ALFFIVE_18_Cu,0.0022662288
ALFFIVE_18_Fe,0.1415271641
ALFFIVE_18_Fe,0.0361039903
ALFFIVE_18_Fe,0.0014404167
ALFFIVE_18_Ni,0.1631172243
ALFFIVE_18_Ni,0.0433228905
ALFFIVE_18_Ni,0.0018490693
ALFFIVE_18_Zn,0.1457635627
ALFFIVE_18_Zn,0.037095872
ALFFIVE_18_Zn,0.0014807423
ALFFIVE_1_Cd,0.1689975551
ALFFIVE_1_Cd,0.0417891059
ALFFIVE_1_Cd,0.0017324931
ALFFIVE_1_Co,0.1966010813
ALFFIVE_1_Co,0.0483409124
ALFFIVE_1_Co,0.0020167399
ALFFIVE_1_Cu,0.1955473979
ALFFIVE_1_Cu,0.0482093219
ALFFIVE_1_Cu,0.0018724627
ALFFIVE_1_Fe,0.1738707043
ALFFIVE_1_Fe,0.0432409414
ALFFIVE_1_Fe,0.0017233108
ALFFIVE_1_Ni,0.1538008429
ALFFIVE_1_Ni,0.0378053262
ALFFIVE_1_Ni,0.0015294607
ALFFIVE_1_Zn,0.1546347053
ALFFIVE_1_Zn,0.0376098909
ALFFIVE_1_Zn,0.0015301695
ALFFIVE_2_Cd,0.0841660553
ALFFIVE_2_Cd,0.02145827
ALFFIVE_2_Cd,0.0008391189
ALFFIVE_2_Cd_i,4.9171507946
ALFFIVE_2_Cd_i,2.2795655453
ALFFIVE_2_Cd_i,0.1082594203
ALFFIVE_2_Co,0.0793195171
ALFFIVE_2_Co,0.0199156162
ALFFIVE_2_Co,0.0008050033
ALFFIVE_2_Co_i,4.579202485
ALFFIVE_2_Co_i,2.4329683176
ALFFIVE_2_Co_i,0.1576574231
ALFFIVE_2_Cu,0.0823060412
ALFFIVE_2_Cu,0.0200465841
ALFFIVE_2_Cu,0.0008144879
ALFFIVE_2_Cu_i,4.9959936007
ALFFIVE_2_Cu_i,2.6707822691
ALFFIVE_2_Cu_i,0.1537997552
ALFFIVE_2_Fe,0.0663210193
ALFFIVE_2_Fe,0.0167294776
ALFFIVE_2_Fe,0.0007228787
ALFFIVE_2_Fe_i,4.5922488402
ALFFIVE_2_Fe_i,2.1450639495
ALFFIVE_2_Fe_i,0.1132317138
ALFFIVE_2_Ni,0.0690863505
ALFFIVE_2_Ni,0.0174837138
ALFFIVE_2_Ni,0.0007704339
ALFFIVE_2_Ni_i,4.6111456255
ALFFIVE_2_Ni_i,2.3069585666
ALFFIVE_2_Ni_i,0.1299927472
ALFFIVE_2_Zn,0.0734908354
ALFFIVE_2_Zn,0.0189089494
ALFFIVE_2_Zn,0.0007650434
ALFFIVE_2_Zn_i,4.8956808301
ALFFIVE_2_Zn_i,2.4464889061
ALFFIVE_2_Zn_i,0.1316544229
ALFFIVE_3_Cd,1.9220207697
ALFFIVE_3_Cd,1.0899108173
ALFFIVE_3_Cd,0.0738561671
ALFFIVE_3_Co,2.8012010096
ALFFIVE_3_Co,2.4880605062
ALFFIVE_3_Co,0.5040113087
ALFFIVE_3_Cu,2.8703377031
ALFFIVE_3_Cu,2.8186279946
ALFFIVE_3_Cu,1.798419567
ALFFIVE_3_Fe,2.7846612933
ALFFIVE_3_Fe,2.347262189
ALFFIVE_3_Fe,0.3743405499
ALFFIVE_3_Ni,2.8824136456
ALFFIVE_3_Ni,2.7659214621
ALFFIVE_3_Ni,1.1221412991
ALFFIVE_3_Zn,2.7404165473
ALFFIVE_3_Zn,2.3963614628
ALFFIVE_3_Zn,0.4423865727
ALFFIVE_4_Cd_i,1.7924579841
ALFFIVE_4_Cd_i,0.5906543995
ALFFIVE_4_Cd_i,0.0245524896
ALFFIVE_4_Co_i,1.8047366286
ALFFIVE_4_Co_i,0.5864531268
ALFFIVE_4_Co_i,0.0264236396
ALFFIVE_4_Cu_i,1.8523948482
ALFFIVE_4_Cu_i,0.6170354665
ALFFIVE_4_Cu_i,0.0260960295
ALFFIVE_4_Fe_i,1.2213249891
ALFFIVE_4_Fe_i,0.3398103145
ALFFIVE_4_Fe_i,0.0140838829
ALFFIVE_4_Ni_i,1.6491131159
ALFFIVE_4_Ni_i,0.4988357149
ALFFIVE_4_Ni_i,0.0232675244
ALFFIVE_4_Zn_i,1.685121018
ALFFIVE_4_Zn_i,0.5386524549
ALFFIVE_4_Zn_i,0.0241563623
ALFFIVE_5_Cd_i,0.5880114814
ALFFIVE_5_Cd_i,0.1547180941
ALFFIVE_5_Cd_i,0.0061776214
ALFFIVE_5_Co_i,1.0983060264
ALFFIVE_5_Co_i,0.289774465
ALFFIVE_5_Co_i,0.0126306288
ALFFIVE_5_Cu_i,1.0215913913
ALFFIVE_5_Cu_i,0.2725740342
ALFFIVE_5_Cu_i,0.0114083517
ALFFIVE_5_Fe_i,1.0144169958
ALFFIVE_5_Fe_i,0.263400459
ALFFIVE_5_Fe_i,0.0114455274
ALFFIVE_5_Ni_i,0.9483188561
ALFFIVE_5_Ni_i,0.2501168668
ALFFIVE_5_Ni_i,0.0105065199
ALFFIVE_5_Zn_i,0.8628516645
ALFFIVE_5_Zn_i,0.2202092545
ALFFIVE_5_Zn_i,0.0092377927
ALFFIVE_6_Cd_i,1.187050228
ALFFIVE_6_Cd_i,0.3107649047
ALFFIVE_6_Cd_i,0.0136929364
ALFFIVE_6_Co_i,1.700789371
ALFFIVE_6_Co_i,0.4659309575
ALFFIVE_6_Co_i,0.0191222723
ALFFIVE_6_Cu_i,1.5509356158
ALFFIVE_6_Cu_i,0.4145488077
ALFFIVE_6_Cu_i,0.017615308
ALFFIVE_6_Fe_i,1.4395877049
ALFFIVE_6_Fe_i,0.3877503053
ALFFIVE_6_Fe_i,0.0158971436
ALFFIVE_6_Ni_i,1.6119240975
ALFFIVE_6_Ni_i,0.4286264692
ALFFIVE_6_Ni_i,0.0179705806
ALFFIVE_6_Zn_i,1.5575964078
ALFFIVE_6_Zn_i,0.4174536627
ALFFIVE_6_Zn_i,0.0172070149
ALFFIVE_7_Cd,0.1168125194
ALFFIVE_7_Cd,0.0302581894
ALFFIVE_7_Cd,0.0011945121
ALFFIVE_7_Co,0.122378849
ALFFIVE_7_Co,0.0306838918
ALFFIVE_7_Co,0.001284186
ALFFIVE_7_Cu,0.1242494209
ALFFIVE_7_Cu,0.0306022602
ALFFIVE_7_Cu,0.0012491543
ALFFIVE_7_Fe,0.0959104682
ALFFIVE_7_Fe,0.0234868973
ALFFIVE_7_Fe,0.0009399269
ALFFIVE_7_Ni,0.1021764746
ALFFIVE_7_Ni,0.0253269345
ALFFIVE_7_Ni,0.0010053689
ALFFIVE_7_Zn,0.1063916538
ALFFIVE_7_Zn,0.0260540094
ALFFIVE_7_Zn,0.0009991718
ALIXOJ,0.0023805481
ALIXOJ,0.0593217108
ALIXOJ,0.2416617664
ALIXUP,0.0004863252
ALIXUP,0.0127260828
ALIXUP,0.0509815333
ALUJUN,1.1483923447
ALUJUN,2.9133916007
ALUJUN,3.2465026573
ALUKAU,2.3217758121
ALUKAU,2.5328334801
ALUKAU,2.7549972329
ALUKIC,0.0043372933
ALUKIC,0.1207401053
ALUKIC,0.4374021994
ALUKOI,0.0076919865
ALUKOI,0.1931628447
ALUKOI,0.5703390656
ALULAV,0.0089512556
ALULAV,0.1861099193
ALULAV,0.6514970272
ALULID,0.116593134
ALULID,0.9280416438
ALULID,1.6180177779
AMAFOK,0.0035427879
AMAFOK,0.0883981745
AMAFOK,0.3269844575
AMALND,3.0842080557
AMALND,3.3171509937
AMALND,3.3614764727
AMIKOX,0.0003106081
AMIKOX,0.0075141793
AMIKOX,0.0299261349
AMIWID,0.0323280191
AMIWID,0.5999601374
AMIWID,1.3462604458
AMIWOJ,1.124881908
AMIWOJ,2.0833480414
AMIWOJ,2.4090048867
AMIWUP,1.1323208982
AMIWUP,2.0916044585
AMIWUP,2.4522177796
AMIXAW,1.1395804723
AMIXAW,2.0319430742
AMIXAW,2.3446677268
AMIXEA,1.1465151317
AMIXEA,1.9999241684
AMIXEA,2.3021393027
AMODUC,0.0104397051
AMODUC,0.2295354443
AMODUC,0.7447043552
AMOYOR,0.0255413155
AMOYOR,0.6999976057
AMOYOR,2.3890823995
AMOZAE,2.1485065168
AMOZAE,2.213820093
AMOZAE,2.2272641314
ANAWIX,0.0072860478
ANAWIX,0.1675954573
ANAWIX,0.5550005306
ANAWOD,0.0014202969
ANAWOD,0.0341101967
ANAWOD,0.1363891931
ANENEN,0.005600753
ANENEN,0.1401663671
ANENEN,0.4964876519
ANENIR,0.0342693156
ANENIR,0.6720458361
ANENIR,1.5249494844
ANOMUM,0.0026316305
ANOMUM,0.0644976925
ANOMUM,0.259059295
ANONAT,0.001893148
ANONAT,0.0478610257
ANONAT,0.1890931537
ANUGIA,0.000869602
ANUGIA,0.0221631266
ANUGIA,0.0881478722
APARAM,0.0072567522
APARAM,0.1615003865
APARAM,0.4549858494
APAZOI,0.1003223406
APAZOI,1.6365884162
APAZOI,3.334105176
APEBED,0.0119577565
APEBED,0.2533674956
APEBED,0.7859792664
APEBEE,0.0205090027
APEBEE,0.4634124944
APEBEE,1.5265810555
APETAS,0.2550823988
APETAS,1.930296907
APETAS,2.2840557059
AQALIO,0.0168141114
AQALIO,0.3967088813
AQALIO,1.2186387623
AQALOU,0.2410811474
AQALOU,1.6399636805
AQALOU,2.4334442892
AQETIA,0.0223858263
AQETIA,0.4343865777
AQETIA,1.1161783996
AQETUM,0.0010596091
AQETUM,0.0274467484
AQETUM,0.1088592018
AQMAND01,1.6727553515
AQMAND01,2.127889617
AQMAND01,2.2404039514
AQODOA,0.004808093
AQODOA,0.1047324616
AQODOA,0.3072355467
AQUCOG,0.0015219809
AQUCOG,0.0381862633
AQUCOG,0.1503229631
AQUCUM,0.0015390239
AQUCUM,0.0391557334
AQUCUM,0.1555841023
AQUDAT,0.0265794004
AQUDAT,0.4356973027
AQUDAT,0.8503895251
AQUDEX,0.0216506117
AQUDEX,0.367819817
AQUDEX,0.786858428
AQUDIB,0.0014767971
AQUDIB,0.036464126
AQUDIB,0.1474498278
AQUDOH,0.0168395542
AQUDOH,0.2988827497
AQUDOH,0.6892631786
ARAFEF,0.0040504642
ARAFEF,0.1003479593
ARAFEF,0.3886934657
ARAFOP,0.0070638847
ARAFOP,0.1770405931
ARAFOP,0.669355581
ARAGOR,0.0198485009
ARAGOR,0.4451084299
ARAGOR,1.506657693
ARAHIM01,1.1231119767
ARAHIM01,2.2217812117
ARAHIM01,2.2976269509
ARAHIM,0.9457704341
ARAHIM,2.1859083269
ARAHIM,2.2980353463
AROFAP,0.0338180392
AROFAP,0.703410792
AROFAP,2.0422542471
AROFET,0.0110477176
AROFET,0.222343195
AROFET,0.7771706078
ARUYES,0.1105888364
ARUYES,1.9053384432
ARUYES,3.2761526897
ASACON,0.0026535773
ASACON,0.0663857947
ASACON,0.2495910985
ASADAA,0.0028806021
ASADAA,0.0708696678
ASADAA,0.2777072884
ASALIP,7.77032e-05
ASALIP,0.0017944013
ASALIP,0.0067547554
ASEJOZ01,0.8053789589
ASEJOZ01,4.1832690068
ASEJOZ,0.8692398399
ASEJOZ,4.2189820779
ASIRUR,0.0722128361
ASIRUR,0.8873575741
ASIRUR,1.4890951658
ASOSUY,0.0047364886
ASOSUY,0.1170381565
ASOSUY,0.441356978
ASOVEL,0.0209953572
ASOVEL,0.5052832103
ASOVEL,1.6016545697
ASUBIB,0.0154578105
ASUBIB,0.308286981
ASUBIB,0.9739524301
ASUJIJ,0.0736583014
ASUJIJ,1.2199965638
ASUJIJ,2.4246148033
ATAFIK,0.0112738591
ATAFIK,0.260281353
ATAFIK,1.0325860458
ATIBAG,0.0007131356
ATIBAG,0.0172332116
ATIBAG,0.0696890934
ATIBIO,0.0002923993
ATIBIO,0.0074892315
ATIBIO,0.0297177413
ATIBOU01,0.0006975675
ATIBOU01,0.0157201187
ATIBOU01,0.0642917768
ATIBOU02,0.0005993692
ATIBOU02,0.0155123454
ATIBOU02,0.0599722469
ATIBOU,0.0007316975
ATIBOU,0.0187127733
ATIBOU,0.073232018
ATIBUA,0.0006394868
ATIBUA,0.0164673842
ATIBUA,0.0645372726
ATICAH,0.000586795
ATICAH,0.0133495866
ATICAH,0.0543485951
ATIRUS,1.5500211325
ATIRUS,3.2670645659
ATIRUS,3.6597892435
ATIXAE,0.2274030485
ATIXAE,2.2562091631
ATIXAE,3.0717507017
ATOWIQ,0.0026958935
ATOWIQ,0.0645581125
ATOWIQ,0.2587160406
ATOWOW,0.0022945631
ATOWOW,0.0605348372
ATOWOW,0.2419947703
ATULIM,0.0076143641
ATULIM,0.1724101574
ATULIM,0.5179136002
AVAQIX01,0.0254008804
AVAQIX01,0.5651691032
AVAQIX01,1.6280189383
AVAQIX,0.0223523464
AVAQIX,0.5015593124
AVAQIX,1.5198023078
AVEHAM,0.0087703307
AVEHAM,0.198118695
AVEHAM,0.6396440301
AVEQID,0.0037842326
AVEQID,0.0982225093
AVEQID,0.3693894637
AVESAW,0.0358245621
AVESAW,0.501628121
AVESAW,0.9515567837
AVESOL,0.0062178541
AVESOL,0.1559441674
AVESOL,0.6160894805
AVIHIY,0.0066537817
AVIHIY,0.158369944
AVIHIY,0.6459487921
AVIHOE,0.005158458
AVIHOE,0.1271124662
AVIHOE,0.5102669939
AVIMIC,0.0015688583
AVIMIC,0.0384627603
AVIMIC,0.146721037
AVIMOI,0.0276075477
AVIMOI,0.6130484913
AVIMOI,1.9659965369
AVIPAX,0.0266660963
AVIPAX,0.5811737856
AVIPAX,1.7151483278
AVIPOL,0.0179775212
AVIPOL,0.4170247181
AVIPOL,1.3916177954
AVUJIL,0.0004306549
AVUJIL,0.0100073661
AVUJIL,0.0462283936
AVUPIR,0.0103678635
AVUPIR,0.2659091156
AVUPIR,0.753751078
AWASAU,0.0342082961
AWASAU,0.4605606991
AWASAU,0.8145475801
AWEJIW,0.0059225409
AWEJIW,0.1478320099
AWEJIW,0.5146207163
AWIBAL,0.0597281733
AWIBAL,0.9092701956
AWIBAL,1.915394163
AWOFOI,0.5511292761
AWOFOI,4.1083156975
AWOFOI,5.7741854027
AXAWUT,3.1936544016
AXAWUT,3.3320521368
AXAWUT,3.354065719
AXUBAW,0.0007785952
AXUBAW,0.0192527164
AXUBAW,0.0769299468
AYAWEE,0.2433204452
AYAWEE,1.4351025296
AYAWEE,1.8648286978
AZAFIS,0.1209590922
AZAFIS,1.2766466303
AZAFIS,2.1675084059
AZEBUE,0.2221429656
AZEBUE,1.2427940939
AZEBUE,1.7779102433
AZILEA,0.8115148242
AZILEA,1.9992979904
AZILEA,2.5490295086
AZIXUD,0.0197852615
AZIXUD,0.4588848531
AZIXUD,1.6991698512
AZOBUN,0.0164022718
AZOBUN,0.3242479886
AZOBUN,0.8334246608
BACGAQ,0.0134885002
BACGAQ,0.3175851107
BACGAQ,0.9931743912
BACMOH10,0.1349783262
BACMOH10,1.7592939385
BACMOH10,2.8493916812
BACMOH,0.0015712954
BACMOH,0.0392758138
BACMOH,0.1604667964
BAHGUN01,0.0137591647
BAHGUN01,0.3049109236
BAHGUN01,0.9181359339
BAHGUN02,0.014446035
BAHGUN02,0.3135696958
BAHGUN02,0.9340347684
BAHGUN03,0.0160663815
BAHGUN03,0.3298761556
BAHGUN03,1.0116112166
BAHGUN04,0.0147687987
BAHGUN04,0.3161655867
BAHGUN04,0.970011684
BAHGUN,0.0164740068
BAHGUN,0.3530600218
BAHGUN,1.0563288646
BAKJII,0.0054923628
BAKJII,0.1360535479
BAKJII,0.5361465789
BALMUW01,0.0033947798
BALMUW01,0.0747576375
BALMUW01,0.2417238559
BALMUW,0.004711274
BALMUW,0.0998945399
BALMUW,0.294468491
BAPDAA,0.0022204294
BAPDAA,0.0567979922
BAPDAA,0.2200828815
BAXLOD,0.0241763298
BAXLOD,0.4577723272
BAXLOD,0.8703896332
BEKYOG,0.0005513727
BEKYOG,0.0133923489
BEKYOG,0.0522197791
BELYIC,0.0258556246
BELYIC,0.6136151881
BELYIC,2.1081654901
BENXUP,0.0220189926
BENXUP,0.5044117484
BENXUP,1.5680559958
BEPVAV,0.0059929609
BEPVAV,0.1351456313
BEPVAV,0.4176651935
BEPVEZ,0.0026059062
BEPVEZ,0.0646781338
BEPVEZ,0.2476511112
BEPVID,0.0033517369
BEPVID,0.0819042608
BEPVID,0.3060932139
BEPVOJ01,0.0049964425
BEPVOJ01,0.1245433397
BEPVOJ01,0.4338698717
BEPVOJ,0.0062547288
BEPVOJ,0.1521397682
BEPVOJ,0.5056593662
BERFIP,0.0126897542
BERFIP,0.2558675033
BERFIP,0.7229676858
BETDAH,0.185467042
BETDAH,1.6694435685
BETDAH,2.6525742339
BETDEL,0.1627785106
BETDEL,1.6870606231
BETDEL,2.9060558643
BETDIP,0.2130820294
BETDIP,2.0419496074
BETDIP,3.4734435149
BETDUB,0.00784438
BETDUB,0.1974970291
BETDUB,0.7423644209
BETFAJ,0.2105695722
BETFAJ,1.911852348
BETFAJ,3.2160052746
BETFEN,0.1952906883
BETFEN,1.9282679882
BETFEN,3.3229556292
BETFUD,0.1792149212
BETFUD,1.841681217
BETFUD,3.2262417448
BETGAK,0.0972786915
BETGAK,1.447295622
BETGAK,2.8328905266
BEVQID,0.0666303752
BEVQID,1.35247046
BEVQID,3.2152844662
BEVQUP,6.56371e-05
BEVQUP,0.001859955
BEVQUP,0.0077437484
BEVRAW,0.0012639074
BEVRAW,0.0317933086
BEVRAW,0.1181852783
BEXSII,0.004404435
BEXSII,0.1116674758
BEXSII,0.416330595
BFFIVE_13_Cd_i,1.0834853582
BFFIVE_13_Cd_i,0.2974082465
BFFIVE_13_Cd_i,0.0126597276
BFFIVE_13_Co_i,1.267761562
BFFIVE_13_Co_i,0.3973654698
BFFIVE_13_Co_i,0.0178718037
BFFIVE_13_Cu_i,1.884451458
BFFIVE_13_Cu_i,0.6751470053
BFFIVE_13_Cu_i,0.0332793029
BFFIVE_13_Fe_i,1.0827797751
BFFIVE_13_Fe_i,0.3183427073
BFFIVE_13_Fe_i,0.0134687161
BFFIVE_13_Ni_i,1.3601072243
BFFIVE_13_Ni_i,0.3867548771
BFFIVE_13_Ni_i,0.016703212
BFFIVE_13_Zn_i,1.2381316876
BFFIVE_13_Zn_i,0.3432823
BFFIVE_13_Zn_i,0.0142010393
BFFIVE_14_Cd_i,2.5761112189
BFFIVE_14_Cd_i,0.8471485204
BFFIVE_14_Cd_i,0.038263913
BFFIVE_14_Co_i,1.219461898
BFFIVE_14_Co_i,0.4913018119
BFFIVE_14_Co_i,0.0266018249
BFFIVE_14_Cu_i,1.3934596651
BFFIVE_14_Cu_i,0.6266387523
BFFIVE_14_Cu_i,0.0359912242
BFFIVE_14_Fe_i,1.6738077537
BFFIVE_14_Fe_i,0.5247690241
BFFIVE_14_Fe_i,0.0246788281
BFFIVE_14_Ni_i,1.9753400055
BFFIVE_14_Ni_i,0.6265344843
BFFIVE_14_Ni_i,0.0289074452
BFFIVE_14_Zn_i,2.8411440808
BFFIVE_14_Zn_i,0.7950418722
BFFIVE_14_Zn_i,0.0341163161
BFFIVE_15_Cd_i,0.7677944778
BFFIVE_15_Cd_i,0.2185724029
BFFIVE_15_Cd_i,0.0087254733
BFFIVE_15_Co_i,0.9746948831
BFFIVE_15_Co_i,0.3063234713
BFFIVE_15_Co_i,0.0129878997
BFFIVE_15_Cu_i,1.0038945562
BFFIVE_15_Cu_i,0.3167388294
BFFIVE_15_Cu_i,0.0133512508
